DAY,TIME,WEATHER,INTERSECTION
6,744,B,BELLFLOWER BL_ANAHEIM RD
7,1037,A,REDONDO AV_7TH ST
2,1922,A,7TH ST_BELLFLOWER BL
4,809,B,LONG BEACH BL_WARDLOW RD
4,2141,A,WARDLOW RD_LONG BEACH BL
4,1110,B,ATLANTIC AV_WILLOW ST
4,854,A,ANAHEIM ST_ALAMITOS AV
4,1840,B,LONG BEACH BL_PACIFIC COAST HWY
4,2145,A,PACIFIC COAST HWY_TERMINO AV
6,2125,A,7TH ST_REDONDO AV
6,1819,A,ATLANTIC AV_SOUTH ST
7,2220,A,OCEAN BL_PINE AV
7,1842,A,PACIFIC COAST HWY_WALNUT AV
7,743,E,PACIFIC COAST HWY_SANTA FE AV
7,1330,A,TRAFFIC CIR_PACIFIC COAST HWY
7,1905,A,SOUTH ST_PARAMOUNT BL
7,15,A,CHERRY AV_SOUTH ST
1,1330,A,ATLANTIC AV_HARDING ST
2,1320,A,LONG BEACH BL_ANAHEIM ST
2,1710,A,LONG BEACH BL_WILLOW ST
3,1605,A,PACIFIC COAST HWY_2ND ST
3,1719,A,BELLFLOWER BL_ANAHEIM RD
4,420,E,PACIFIC COAST HWY_SANTA FE AV
4,1745,A,LONG BEACH BL_WARDLOW RD
5,2348,C,PACIFIC COAST HWY_HARBOR AV
5,1118,B,PACIFIC COAST HWY_SANTA FE AV
5,227,C,7TH ST_XIMENO AV
6,1558,C,ATLANTIC AV_WILLOW ST
1,950,A,ATLANTIC AV_10TH ST
3,800,A,PACIFIC COAST HWY_HARBOR AV
3,1752,A,7TH ST_REDONDO AV
4,1259,A,PACIFIC COAST HWY_ANAHEIM ST
4,1330,A,7TH ST_REDONDO AV
5,2215,A,SOUTH ST_PARAMOUNT BL
7,200,A,ANAHEIM ST_TEMPLE AV
1,1730,A,ANAHEIM ST_REDONDO AV
2,902,A,7TH ST_XIMENO AV
3,1850,A,PACIFIC COAST HWY_PINE AV
3,2010,A,REDONDO AV_ANAHEIM ST
3,1604,A,WILLOW ST_ATLANTIC AV
4,1720,A,ATLANTIC AV_SPRING ST
4,1157,A,ANAHEIM ST_PACIFIC AV
5,1321,A,LONG BEACH BL_ANAHEIM ST
6,1313,A,PACIFIC COAST HWY_2ND ST
6,1229,A,BELLFLOWER BL_LOS COYOTES DIAGONAL
6,629,A,WARDLOW RD_PACIFIC PL
7,839,A,PACIFIC AV_PACIFIC COAST HWY
7,2050,A,CHERRY AV_PACIFIC COAST HWY
7,1645,A,7TH ST_LONG BEACH BL
1,1950,A,REDONDO AV_ANAHEIM ST
3,1040,A,PACIFIC COAST HWY_ORANGE AV
4,2128,-,ATLANTIC AV_SOUTH ST
5,1425,B,ANAHEIM ST_LONG BEACH BL
5,1642,B,PACIFIC COAST HWY_ANAHEIM ST
6,2316,A,ANAHEIM ST_OREGON AV
6,1917,A,LONG BEACH BL_20TH ST
6,1159,A,REDONDO AV_7TH ST
7,1600,A,PALO VERDE AV_STEARNS ST
1,1700,A,OCEAN BL_PINE AV
2,1750,A,ANAHEIM ST_MAGNOLIA AV
2,1650,A,REDONDO AV_7TH ST
3,530,A,PACIFIC COAST HWY_LONG BEACH BL
3,1108,A,LONG BEACH BL_PACIFIC COAST HWY
4,1349,A,WILLOW ST_LONG BEACH BL
4,1513,A,7TH ST_TERMINO AV
5,2325,B,DEL AMO BL_LONG BEACH BL
5,1742,A,PACIFIC COAST HWY_LONG BEACH BL
5,1115,A,LONG BEACH BL_ANAHEIM ST
5,625,A,PACIFIC COAST HWY_LEMON AV
6,1100,A,SOUTH ST_PARAMOUNT BL
7,748,A,7TH ST_BELLFLOWER BL
7,1725,A,ATLANTIC AV_SOUTH ST
7,1700,A,ORANGE AV_PACIFIC COAST HWY
1,2056,A,PACIFIC COAST HWY_TERMINO AV
1,1300,A,SOUTH ST_PARAMOUNT BL
1,1222,A,ATLANTIC AV_SOUTH ST
2,1925,A,DEL AMO BL_LONG BEACH BL
3,1536,A,SOUTH ST_DOWNEY AV
3,1751,A,ATLANTIC AV_WARDLOW RD
4,810,A,WILLOW ST_LONG BEACH BL
4,1500,A,ATLANTIC AV_SOUTH ST
5,1612,A,SPRING ST_PALO VERDE AV
7,1300,A,LONG BEACH BL_MARKET ST
1,1820,B,CARSON ST_CLARK AV
2,1400,A,CHERRY AV_SOUTH ST
2,2316,A,PACIFIC COAST HWY_PACIFIC AV
2,1746,A,LAKEWOOD BL_SPRING ST
4,1720,B,LAKEWOOD BL_OUTER TRAFFIC CIR
4,1335,A,OCEAN BL_MAGNOLIA AV
4,1645,A,ANAHEIM ST_PACIFIC AV
5,832,A,BELLFLOWER BL_ANAHEIM RD
5,2355,A,PACIFIC COAST HWY_PACIFIC AV
7,127,C,PACIFIC COAST HWY_7TH ST
1,1318,A,2ND ST_MARINA DR
1,1520,A,SOUTH ST_DOWNEY AV
3,645,-,7TH ST_CHERRY AV
3,845,A,LONG BEACH BL_PACIFIC COAST HWY
4,2022,A,LONG BEACH BL_SPRING ST
4,2015,A,LONG BEACH BL_PACIFIC COAST HWY
4,1030,A,LONG BEACH BL_10TH ST
5,2327,A,ANAHEIM ST_OREGON AV
5,317,A,ATLANTIC AV_WILLOW ST
6,2232,C,WILLOW ST_EASY AV
6,2040,B,7TH ST_CHERRY AV
6,2200,B,ANAHEIM ST_ORANGE AV
1,1621,A,ANAHEIM ST_MAGNOLIA AV
1,1510,A,ANAHEIM ST_OBISPO AV
3,1059,A,ANAHEIM ST_OREGON AV
3,1058,A,PACIFIC COAST HWY_ORANGE AV
3,105,A,7TH ST_CHERRY AV
3,1520,A,PACIFIC COAST HWY_ATLANTIC AV
4,2049,A,LAKEWOOD BL_OUTER TRAFFIC CIR
4,1730,A,PACIFIC COAST HWY_LONG BEACH BL
5,810,A,ANAHEIM ST_WALNUT AV
5,1312,A,7TH ST_ATLANTIC AV
6,2336,A,PARAMOUNT BL_SOUTH ST
6,1334,A,PACIFIC COAST HWY_PACIFIC AV
1,1816,A,PACIFIC COAST HWY_PINE AV
3,727,B,PACIFIC AV_PACIFIC COAST HWY
3,1811,A,CHERRY AV_SOUTH ST
4,1720,A,7TH ST_REDONDO AV
4,1156,A,ANAHEIM ST_LONG BEACH BL
5,1355,A,CHERRY AV_10TH ST
5,119,-,REDONDO AV_7TH ST
7,1541,A,ANAHEIM ST_WALNUT AV
2,842,A,ANAHEIM ST_LONG BEACH BL
2,940,B,LAKEWOOD BL_SPRING ST
4,1248,A,PACIFIC COAST HWY_SANTA FE AV
4,1825,A,ANAHEIM ST_ATLANTIC AV
5,1730,A,ANAHEIM ST_ATLANTIC AV
5,1155,A,CHERRY AV_10TH ST
5,1529,A,TRAFFIC CIR_PACIFIC COAST HWY
7,1330,A,LONG BEACH BL_PACIFIC COAST HWY
1,843,-,PALO VERDE AV_WOODRUFF AV
3,1330,A,PACIFIC COAST HWY_LONG BEACH BL
6,1730,A,REDONDO AV_7TH ST
6,2012,A,PACIFIC COAST HWY_HARBOR AV
6,549,A,7TH ST_CHANNEL DR
6,1120,A,ANAHEIM ST_TEMPLE AV
7,2044,A,PACIFIC COAST HWY_2ND ST
1,650,A,ATLANTIC AV_MARKET ST
2,1159,A,7TH ST_ATLANTIC AV
2,1136,A,WILLOW ST_PACIFIC AV
3,2500,A,7TH ST_OLIVE AV
3,1630,A,7TH ST_OLIVE AV
4,1838,A,BROADWAY_CHERRY AV
5,1449,A,PARAMOUNT BL_SOUTH ST
6,1255,A,PALO VERDE AV_STEARNS ST
1,912,A,WILLOW ST_EASY AV
1,1548,A,PACIFIC COAST HWY_CEDAR AV
1,1455,A,ANAHEIM ST_MAGNOLIA AV
2,340,A,OCEAN BL_MAGNOLIA AV
2,1130,A,WARDLOW RD_PACIFIC PL
2,2144,A,PACIFIC COAST HWY_ANAHEIM ST
3,1445,A,CHERRY AV_SOUTH ST
3,934,A,WILLOW ST_PACIFIC AV
3,820,A,LAKEWOOD BL_WILLOW ST
4,1624,A,LAKEWOOD BL_WILLOW ST
4,1706,A,PACIFIC COAST HWY_OBISPO AV
6,1633,A,PACIFIC COAST HWY_MAGNOLIA AV
6,1248,A,PACIFIC COAST HWY_ORANGE AV
7,1700,A,7TH ST_WALNUT AV
7,153,A,PACIFIC COAST HWY_LONG BEACH BL
7,1957,A,PACIFIC COAST HWY_7TH ST
7,1110,A,CHERRY AV_10TH ST
7,1114,A,7TH ST_PARK AV
1,1842,A,PACIFIC COAST HWY_STUDEBAKER RD
2,2330,B,PACIFIC COAST HWY_OBISPO AV
2,2003,B,PACIFIC COAST HWY_JUNIPERO AV
3,1900,B,PACIFIC COAST HWY_CEDAR AV
4,1705,A,PACIFIC COAST HWY_LEMON AV
4,1520,A,7TH ST_ORANGE AV
4,1215,B,SPRING ST_PALO VERDE AV
4,2100,A,7TH ST_TERMINO AV
5,1820,A,ANAHEIM ST_LONG BEACH BL
5,815,A,DEL AMO BL_LONG BEACH BL
5,1515,A,PACIFIC COAST HWY_OBISPO AV
5,1355,A,PACIFIC COAST HWY_PACIFIC AV
6,1830,A,WARDLOW RD_LONG BEACH BL
6,1108,A,WILLOW ST_EASY AV
7,2318,A,PACIFIC COAST HWY_PINE AV
1,1437,A,6TH ST_ATLANTIC AV
1,1930,A,ATLANTIC AV_SOUTH ST
1,2308,A,ANAHEIM ST_TEMPLE AV
1,1650,B,PACIFIC COAST HWY_7TH ST
1,1253,A,ANAHEIM ST_WALNUT AV
2,1535,A,TRAFFIC CIR_PACIFIC COAST HWY
2,1553,A,PACIFIC COAST HWY_ATLANTIC AV
2,940,A,ATLANTIC AV_WARDLOW RD
2,1130,A,SPRING ST_PALO VERDE AV
3,1215,A,ATLANTIC AV_MARKET ST
4,1430,A,7TH ST_WALNUT AV
4,1745,A,ANAHEIM ST_REDONDO AV
4,1625,A,PALO VERDE AV_WOODRUFF AV
7,1040,A,STUDEBAKER RD_WILLOW ST
2,1823,A,CHERRY AV_SOUTH ST
4,939,C,ATLANTIC AV_WILLOW ST
4,1626,A,ANAHEIM ST_TEMPLE AV
4,2144,B,PACIFIC COAST HWY_ATLANTIC AV
4,1845,A,PALO VERDE AV_WOODRUFF AV
5,2222,A,OCEAN BL_PINE AV
5,1235,A,DEL AMO BL_CHERRY AV
5,1345,A,PACIFIC COAST HWY_PACIFIC AV
6,1212,A,LAKEWOOD BL_SPRING ST
7,1325,A,PACIFIC COAST HWY_ORANGE AV
2,2317,A,PACIFIC COAST HWY_LONG BEACH BL
3,1618,A,7TH ST_PARK AV
5,1655,A,LAKEWOOD BL_SPRING ST
5,1215,A,PACIFIC COAST HWY_CHERRY AV
5,509,A,WARDLOW RD_PACIFIC PL
6,1500,A,WILLOW ST_ATLANTIC AV
1,2005,A,7TH ST_OLIVE AV
1,1600,A,REDONDO AV_ANAHEIM ST
2,1505,A,WARDLOW RD_LONG BEACH BL
3,1558,A,CARSON ST_CLARK AV
4,1932,A,CHERRY AV_SOUTH ST
5,2111,A,PACIFIC COAST HWY_ATLANTIC AV
5,918,B,SOUTH ST_PARAMOUNT BL
5,2309,A,LONG BEACH BL_MARKET ST
5,1252,A,BELLFLOWER BL_STEARNS ST
5,2035,B,SOUTH ST_DOWNEY AV
7,1530,A,CHERRY AV_WARDLOW RD
7,712,A,7TH ST_TERMINO AV
1,1035,A,WILLOW ST_LONG BEACH BL
1,1030,A,PACIFIC COAST HWY_SANTA FE AV
1,1530,A,PACIFIC AV_PACIFIC COAST HWY
1,1705,B,ATLANTIC AV_WILLOW ST
2,1223,A,BELLFLOWER BL_LOS COYOTES DIAGONAL
4,1235,A,DEL AMO BL_LONG BEACH BL
4,610,A,PACIFIC COAST HWY_HARBOR AV
4,1910,A,ATLANTIC AV_WILLOW ST
5,1226,A,OCEAN BL_PINE AV
6,1140,A,WILLOW ST_ATLANTIC AV
6,1635,A,PACIFIC COAST HWY_MAGNOLIA AV
6,1240,A,LONG BEACH BL_SPRING ST
6,659,A,ANAHEIM ST_MAGNOLIA AV
1,1550,A,CHERRY AV_PACIFIC COAST HWY
1,1908,A,LONG BEACH BL_20TH ST
2,534,A,PACIFIC COAST HWY_CHERRY AV
3,1705,A,PACIFIC COAST HWY_OBISPO AV
4,1230,A,BELLFLOWER BL_STEARNS ST
4,835,A,PACIFIC COAST HWY_PACIFIC AV
5,652,A,PACIFIC COAST HWY_HARBOR AV
6,1308,A,REDONDO AV_ANAHEIM ST
6,856,A,ATLANTIC AV_SOUTH ST
1,2230,A,PACIFIC COAST HWY_LONG BEACH BL
1,1110,A,ANAHEIM ST_ORANGE AV
1,2103,A,ATLANTIC AV_10TH ST
2,1330,A,OCEAN BL_PINE AV
2,1650,B,CHERRY AV_PACIFIC COAST HWY
2,858,B,BELLFLOWER BL_LOS COYOTES DIAGONAL
2,1620,A,CHERRY AV_WARDLOW RD
3,1748,A,ANAHEIM ST_ALAMITOS AV
4,1842,A,DEL AMO BL_CHERRY AV
4,1453,A,LONG BEACH BL_20TH ST
5,1702,A,2ND ST_MARINA DR
6,2157,A,PACIFIC COAST HWY_ORANGE AV
7,1627,A,WARDLOW RD_PACIFIC PL
7,1245,A,TRAFFIC CIR_PACIFIC COAST HWY
1,1440,A,REDONDO AV_7TH ST
2,1230,A,PACIFIC COAST HWY_TERMINO AV
2,1912,A,PACIFIC COAST HWY_TERMINO AV
3,2235,A,6TH ST_ATLANTIC AV
3,1523,A,PACIFIC COAST HWY_PACIFIC AV
3,2029,A,REDONDO AV_ANAHEIM ST
4,740,-,7TH ST_CHANNEL DR
6,700,A,ANAHEIM ST_WALNUT AV
7,959,A,PACIFIC COAST HWY_WALNUT AV
7,1000,B,BROADWAY_CHERRY
7,1202,A,PARAMOUNT BL_SOUTH ST
7,2306,A,7TH ST_LONG BEACH BL
1,1033,B,PACIFIC COAST HWY_7TH ST
2,700,A,ANAHEIM ST_LONG BEACH BL
2,1515,A,PACIFIC COAST HWY_CHERRY AV
2,940,A,SANTA FE AV_WILLOW ST
4,2125,A,LONG BEACH BL_SPRING ST
5,1230,A,BELLFLOWER BL_STEARNS ST
5,904,A,CARSON ST_CLARK AV
5,1745,A,PACIFIC COAST HWY_LEMON AV
6,1300,A,7TH ST_XIMENO AV
7,1555,A,BROADWAY_CHERRY
1,830,B,REDONDO AV_7TH ST
1,953,A,ANAHEIM ST_ATLANTIC AV
1,1300,B,7TH ST_PACIFIC COAST HWY
1,720,A,REDONDO AV_7TH ST
1,705,B,7TH ST_ATLANTIC AV
2,915,A,LONG BEACH BL_10TH ST
3,2210,A,7TH ST_XIMENO AV
4,1740,A,7TH ST_LONG BEACH BL
4,1449,A,PACIFIC COAST HWY_LONG BEACH BL
4,1330,A,CHERRY AV_PACIFIC COAST HWY
4,1431,A,PACIFIC COAST HWY_LONG BEACH BL
4,1850,A,SOUTH ST_PARAMOUNT BL
5,1310,A,ANAHEIM ST_CHERRY AV
6,2026,A,PACIFIC COAST HWY_SANTA FE AV
6,109,A,WILLOW ST_PACIFIC AV
6,1013,A,7TH ST_CHERRY AV
6,1724,A,SANTA FE AV_WILLOW ST
7,949,A,LONG BEACH BL_WARDLOW RD
1,623,A,LONG BEACH BL_PACIFIC COAST HWY
1,1508,A,7TH ST_CHANNEL DR
2,1257,-,7TH ST_CHERRY AV
2,1536,A,LONG BEACH BL_PACIFIC COAST HWY
3,1100,A,CHERRY AV_PACIFIC COAST HWY
3,1540,A,PACIFIC COAST HWY_CEDAR AV
4,1943,A,LAKEWOOD BL_WILLOW ST
4,2148,A,PACIFIC COAST HWY_ATLANTIC AV
5,1650,B,WARDLOW RD_PACIFIC PL
5,1349,A,PACIFIC COAST HWY_PINE AV
6,1047,B,7TH ST_LONG BEACH BL
6,1650,B,WARDLOW RD_PACIFIC PL
7,1208,A,7TH ST_OBISPO AV
1,1634,A,7TH ST_CHANNEL DR
2,2151,A,OCEAN BL_LINDEN AV
2,1500,A,BROADWAY_CHERRY
2,1050,A,ATLANTIC AV_10TH ST
2,1840,B,PACIFIC COAST HWY_CEDAR AV
3,2100,A,CHERRY AV_WARDLOW RD
3,1828,A,7TH ST_TERMINO AV
5,1524,A,2ND ST_MARINA DR
5,910,-,LAKEWOOD BL_OUTER TRAFFIC CIR
5,1423,A,LONG BEACH BL_MARKET ST
6,13,A,BELLFLOWER BL_ANAHEIM RD
7,1533,A,PACIFIC COAST HWY_LONG BEACH BL
7,1040,A,DEL AMO BL_CHERRY AV
1,1643,A,PACIFIC COAST HWY_CHERRY AV
1,1636,A,LONG BEACH BL_WARDLOW RD
2,1455,A,PACIFIC COAST HWY_CHERRY AV
2,915,A,PACIFIC COAST HWY_7TH ST
2,808,A,PACIFIC COAST HWY_CHERRY AV
3,1335,A,PACIFIC COAST HWY_OBISPO AV
3,721,B,7TH ST_TERMINO AV
4,1832,A,PACIFIC COAST HWY_CEDAR AV
5,1215,A,LONG BEACH BL_SPRING ST
5,631,A,WILLOW ST_EASY AV
5,1240,A,LONG BEACH BL_WARDLOW RD
5,1714,A,7TH ST_CHERRY AV
6,1835,A,ANAHEIM ST_CHERRY AV
7,2147,A,ANAHEIM ST_CHERRY AV
7,1150,B,CHERRY AV_SOUTH ST
7,2042,A,OCEAN BL_MAGNOLIA AV
1,1810,A,ANAHEIM ST_MAGNOLIA AV
1,1917,A,ANAHEIM ST_MAGNOLIA AV
1,1841,A,PARAMOUNT BL_SOUTH ST
1,1559,A,7TH ST_PARK AV
2,849,A,7TH ST_REDONDO AV
2,1843,A,ANAHEIM ST_REDONDO AV
3,1000,A,LONG BEACH BL_WARDLOW RD
3,1800,A,BELLFLOWER BL_STEARNS ST
3,833,A,OCEAN BL_MAGNOLIA AV
4,755,A,DEL AMO BL_LONG BEACH BL
4,625,A,ATLANTIC AV_SPRING ST
5,2024,A,PACIFIC COAST HWY_WALNUT AV
7,110,B,ATLANTIC AV_SPRING ST
2,1616,-,CHERRY AV_PACIFIC COAST HWY
2,1740,A,CHERRY AV_PACIFIC COAST HWY
3,1205,A,WILLOW ST_PACIFIC AV
3,1255,A,TRAFFIC CIR_PACIFIC COAST HWY
5,1151,A,7TH ST_ORANGE AV
6,1257,A,PACIFIC COAST HWY_JUNIPERO AV
6,1108,A,SOUTH ST_DOWNEY AV
7,1440,-,ORANGE AV_PACIFIC COAST HWY
1,2207,A,WILLOW ST_LONG BEACH BL
2,1518,A,7TH ST_LONG BEACH BL
2,1400,A,PACIFIC COAST HWY_JUNIPERO AV
3,1230,A,WARDLOW RD_LONG BEACH BL
4,1640,A,PACIFIC COAST HWY_2ND ST
4,1520,A,LONG BEACH BL_SPRING ST
4,1115,B,BROADWAY_CHERRY AV
5,1551,A,WILLOW ST_EASY AV
6,2242,A,PACIFIC COAST HWY_CHERRY AV
6,2019,A,7TH ST_PACIFIC COAST HWY
6,1755,A,7TH ST_OLIVE AV
6,1050,B,WILLOW ST_ATLANTIC AV
7,2136,A,PACIFIC COAST HWY_7TH ST
1,1220,B,PALO VERDE AV_WOODRUFF AV
2,1940,B,7TH ST_PACIFIC COAST HWY
2,1140,A,ORANGE AV_PACIFIC COAST HWY
2,1348,A,ANAHEIM ST_OREGON AV
2,846,A,OCEAN BL_MAGNOLIA AV
3,2119,A,BELLFLOWER BL_LOS COYOTES DIAGONAL
3,1200,A,OCEAN BL_PINE AV
3,1608,A,ANAHEIM ST_ORANGE AV
4,1352,A,LONG BEACH BL_PACIFIC COAST HWY
4,1525,A,ATLANTIC AV_WARDLOW RD
4,728,D,7TH ST_OBISPO AV
4,1325,A,7TH ST_REDONDO AV
5,1706,A,PACIFIC COAST HWY_STUDEBAKER RD
5,1336,A,ANAHEIM ST_CHERRY AV
5,115,F,DEL AMO BL_CHERRY AV
6,1330,A,ANAHEIM ST_WALNUT AV
6,2310,A,LONG BEACH BL_SPRING ST
2,1038,A,SOUTH ST_PARAMOUNT BL
2,1630,A,ANAHEIM ST_LONG BEACH BL
2,1623,A,SOUTH ST_PARAMOUNT BL
4,830,A,CARSON ST_CLARK AV
4,2030,A,ATLANTIC AV_HARDING ST
5,1455,A,BROADWAY_CHERRY AV
6,2247,B,PACIFIC COAST HWY_ORANGE AV
6,1048,A,ATLANTIC AV_10TH ST
7,628,A,7TH ST_ORANGE AV
7,2325,A,7TH ST_PARK AV
7,1400,A,DEL AMO BL_CHERRY AV
1,640,C,PACIFIC COAST HWY_TERMINO AV
1,1202,A,PALO VERDE AV_STEARNS ST
1,1257,B,SOUTH ST_PARAMOUNT BL
1,1815,B,7TH ST_LONG BEACH BL
1,2142,A,LONG BEACH BL_WARDLOW RD
2,1452,A,LAKEWOOD BL_WILLOW ST
2,1120,A,SOUTH ST_PARAMOUNT BL
3,2302,A,STUDEBAKER RD_WILLOW ST
3,1626,A,LONG BEACH BL_SPRING ST
3,1644,A,PACIFIC COAST HWY_2ND ST
4,1718,A,PACIFIC COAST HWY_OBISPO AV
4,2500,A,LAKEWOOD BL_SPRING ST
5,2500,A,ATLANTIC AV_SOUTH ST
6,2348,A,ATLANTIC AV_SOUTH ST
6,1805,A,ANAHEIM ST_WALNUT AV
1,1054,A,ANAHEIM ST_ALAMITOS AV
1,830,A,CHERRY AV_WARDLOW RD
1,1605,A,7TH ST_REDONDO AV
2,2128,A,PACIFIC COAST HWY_7TH ST
2,630,A,PACIFIC COAST HWY_ORANGE AV
3,808,A,REDONDO AV_7TH ST
4,1201,A,7TH ST_CHANNEL DR
5,2018,A,6TH ST_ATLANTIC AV
5,1301,A,ORANGE AV_PACIFIC COAST HWY
7,2158,A,ATLANTIC AV_HARDING ST
1,800,A,PACIFIC COAST HWY_CHERRY AV
1,1724,A,BELLFLOWER BL_LOS COYOTES DIAGONAL
3,2217,A,LONG BEACH BL_SPRING ST
3,2045,A,PACIFIC COAST HWY_LEMON AV
4,1300,A,LONG BEACH BL_PACIFIC COAST HWY
4,1625,A,BROADWAY_CHERRY
4,1627,A,BROADWAY_CHERRY
5,1845,A,LONG BEACH BL_WARDLOW RD
5,722,A,TRAFFIC CIR_PACIFIC COAST HWY
5,1428,A,7TH ST_XIMENO AV
5,941,A,PACIFIC COAST HWY_MAGNOLIA AV
6,1353,A,PACIFIC COAST HWY_2ND ST
6,1801,A,PACIFIC COAST HWY_CHERRY AV
7,620,A,7TH ST_REDONDO AV
2,1037,A,PACIFIC COAST HWY_ATLANTIC AV
2,930,A,PACIFIC COAST HWY_STUDEBAKER RD
4,1545,A,LONG BEACH BL_PACIFIC COAST HWY
4,2007,A,PACIFIC COAST HWY_MAGNOLIA AV
4,1130,A,ANAHEIM ST_CHERRY AV
5,1000,A,ATLANTIC AV_HARDING ST
5,2240,-,7TH ST_CHANNEL DR
5,1130,A,7TH ST_PACIFIC COAST HWY
6,1918,A,7TH ST_REDONDO AV
7,331,A,CHERRY AV_PACIFIC COAST HWY
7,1713,A,ANAHEIM ST_OBISPO AV
1,2139,A,ORANGE AV_PACIFIC COAST HWY
1,2238,A,PACIFIC COAST HWY_PINE AV
2,1657,A,WILLOW ST_EASY AV
3,1713,C,REDONDO AV_7TH ST
4,1552,A,7TH ST_XIMENO AV
7,157,A,PACIFIC COAST HWY_2ND ST
1,1439,A,LAKEWOOD BL_WILLOW ST
2,2125,A,PACIFIC COAST HWY_WALNUT AV
3,1509,A,PACIFIC COAST HWY_WALNUT AV
4,1445,A,ANAHEIM ST_LONG BEACH BL
4,45,A,SANTA FE AV_WILLOW ST
4,1035,A,CHERRY AV_10TH ST
5,1715,A,SOUTH ST_PARAMOUNT BL
6,201,A,ANAHEIM ST_MAGNOLIA AV
6,805,A,PACIFIC COAST HWY_OBISPO AV
7,30,A,7TH ST_PACIFIC COAST HWY
7,421,A,PACIFIC COAST HWY_ORANGE AV
7,1445,A,PACIFIC COAST HWY_PINE AV
2,1400,A,SPRING ST_PALO VERDE AV
2,2038,A,LONG BEACH BL_20TH ST
3,1730,A,7TH ST_PARK AV
3,1645,A,PACIFIC COAST HWY_OBISPO AV
3,1314,A,CARSON ST_CLARK AV
3,1717,A,PACIFIC COAST HWY_HARBOR AV
4,1312,A,PALO VERDE AV_STEARNS ST
4,1030,A,7TH ST_XIMENO AV
4,1430,-,CHERRY AV_WARDLOW RD
5,1222,A,PACIFIC COAST HWY_HARBOR AV
1,2330,A,PACIFIC COAST HWY_PACIFIC AV
2,1414,A,LAKEWOOD BL_WILLOW ST
4,1140,E,SPRING ST_PALO VERDE AV
4,537,A,ANAHEIM ST_OREGON AV
4,2013,A,CARSON ST_CLARK AV
6,2227,A,ANAHEIM ST_CHERRY AV
7,549,A,7TH ST_REDONDO AV
7,2322,A,DEL AMO BL_CHERRY AV
1,1516,A,7TH ST_ORANGE AV
1,1510,A,LONG BEACH BL_WARDLOW RD
2,1647,A,7TH ST_OLIVE AV
2,1944,A,WILLOW ST_LONG BEACH BL
2,1700,A,LONG BEACH BL_WILLOW ST
2,1556,A,PACIFIC COAST HWY_ATLANTIC AV
3,1735,A,OCEAN BL_PINE AV
4,1900,A,LONG BEACH BL_WARDLOW RD
4,1945,A,BELLFLOWER BL_ANAHEIM RD
4,1227,A,BELLFLOWER BL_STEARNS ST
5,1630,A,PACIFIC COAST HWY_LONG BEACH BL
5,1715,A,WILLOW ST_ATLANTIC AV
5,1435,-,7TH ST_OLIVE AV
6,1900,A,PACIFIC COAST HWY_STUDEBAKER RD
7,1941,B,7TH ST_CHERRY AV
7,2021,A,ATLANTIC AV_10TH ST
2,1736,A,SOUTH ST_DOWNEY AV
5,1200,A,LONG BEACH BL_WILLOW ST
5,1345,A,ATLANTIC AV_SPRING ST
5,1418,A,TRAFFIC CIR_PACIFIC COAST HWY
5,2151,A,PACIFIC COAST HWY_PACIFIC AV
5,1305,A,ATLANTIC AV_WILLOW ST
5,1352,A,ANAHEIM ST_ALAMITOS AV
5,1337,A,PACIFIC COAST HWY_LONG BEACH BL
7,2054,A,PACIFIC COAST HWY_STUDEBAKER RD
7,1630,A,ATLANTIC AV_SOUTH ST
1,1554,A,CHERRY AV_10TH ST
2,935,A,PACIFIC COAST HWY_LONG BEACH BL
2,1541,A,PACIFIC AV_WILLOW ST
3,1627,A,PACIFIC COAST HWY_WALNUT AV
4,1640,A,7TH ST_OBISPO AV
5,830,-,ANAHEIM ST_MAGNOLIA AV
5,1658,A,7TH ST_OBISPO AV
6,857,A,REDONDO AV_7TH ST
7,345,A,TRAFFIC CIR_PACIFIC COAST HWY
2,1426,A,7TH ST_CHANNEL DR
2,1508,A,SPRING ST_PALO VERDE AV
2,1635,A,LONG BEACH BL_WILLOW ST
2,757,A,PACIFIC COAST HWY_JUNIPERO AV
2,1030,B,7TH ST_ATLANTIC AV
3,1747,A,PACIFIC COAST HWY_LEMON AV
3,1124,A,PACIFIC COAST HWY_CEDAR AV
6,1559,A,7TH ST_PACIFIC COAST HWY
1,1940,A,PACIFIC COAST HWY_LONG BEACH BL
1,1714,A,PACIFIC COAST HWY_2ND ST
1,1641,A,ANAHEIM ST_PACIFIC AV
2,2045,B,ORANGE AV_PACIFIC COAST HWY
2,2100,A,BELLFLOWER BL_STEARNS ST
2,1150,A,ANAHEIM ST_WALNUT AV
3,535,A,PACIFIC COAST HWY_HARBOR AV
3,48,A,7TH ST_ATLANTIC AV
3,1314,A,BELLFLOWER BL_STEARNS ST
4,2256,A,PACIFIC COAST HWY_LEMON AV
4,1050,A,PACIFIC COAST HWY_TERMINO AV
5,0,A,2ND ST_MARINA DR
5,1252,A,LAKEWOOD BL_SPRING ST
5,1630,A,ANAHEIM ST_OREGON AV
6,311,A,7TH ST_ORANGE AV
6,1230,-,7TH ST_TERMINO AV
7,132,A,ANAHEIM ST_TEMPLE AV
7,37,A,LAKEWOOD BL_WILLOW ST
7,350,A,ANAHEIM ST_MAGNOLIA AV
1,1851,A,ATLANTIC AV_WILLOW ST
2,951,A,PACIFIC COAST HWY_SANTA FE AV
